0.38,3.86,4.06,3.66,3.53,3.86,4.09,4.24
0.27,3.16,3.23,2.86,3.9,3.16,3.41,3
0.8,3.48,3.9,3.52,2.77,3.48,4.1,3.5
0.73,2.7,2.65,2.53,2.6,2.7,3.59,1.95
0.33,3.47,3.44,3.48,3.04,3.47,4.09,3.76
0.23,4.38,3.84,3.94,4.63,4.38,4.23,4.47
0.29,2.9,4.35,4.11,4.07,2.9,4.17,3.6
0.29,4.03,4.45,4.49,4.07,4.03,4.46,4.35
0.79,4.64,3.43,4.83,3.57,4.64,4.2,4.08
0.73,3.87,3.62,3.93,3.43,3.87,3.98,4.34
0.9,4.62,3.95,4.72,3.39,4.62,4.15,4.05
0.15,4.2,4.8,3.75,4.36,4.2,4.48,4.25
0.2,2.64,3.99,3.03,3.04,2.64,4.36,2.44
0.9,2.66,4.66,3.66,4.05,2.66,4.53,3.23
0.15,2.99,2.41,3.27,3.03,2.99,3.79,3.26
0.51,4.13,3.54,4.47,3.61,4.13,3.95,3.95
0.33,3.15,4.77,4.34,4.12,3.15,4.07,3.81
0.9,2.76,2.6,2.34,3.23,2.76,2.7,2.33
0.37,4.8,4.32,4.52,4.15,4.8,4.36,4.11
0.33,2.63,3.67,3.17,2.64,2.63,2.57,2.82
0.23,2.74,4.76,3.05,4.08,2.74,3.89,2.5
0.24,,,,,,,
0.65,3.22,3.35,3.49,3.01,3.22,2.91,3.37
0.28,3.93,3.97,4.57,3.15,3.93,3.13,3.68
0.39,3.08,3.34,2.65,2.88,3.08,1.97,3.15
0.16,3.38,2.71,3.66,3.3,3.38,3.71,4.26
0.17,4.12,4.85,4.42,3.89,4.12,3.3,3.92
0.46,3.55,3.22,3.67,2.81,3.55,3.3,3.68
0.26,3.47,4.06,4.12,3.91,3.47,3.33,3.51
0.41,3.46,3.3,3.52,3.15,3.46,3.19,3.5
0.21,3.66,3.64,4.31,3.73,3.66,3.98,3.98
0.2,,,,,,,
0.27,4.12,4.48,4.66,4.12,4.12,3.3,4.31
0.29,3.58,3,3.14,3.41,3.58,3.13,3.75
0.15,3.53,4.11,4.28,2.91,3.53,3.95,3.14
0.81,2.84,2.75,3.12,3.31,2.84,2.95,3.34
0.37,3.37,2.86,3.1,2.92,3.37,3.37,3.55
0.3,2.34,2.37,2.82,2.37,2.34,1.83,3.24
0.17,4.18,3.28,3.65,3.06,4.18,,
0.15,3.52,2.6,3.24,2.86,3.52,3.77,3.84
0.6,2.32,2.69,2.56,2.62,2.32,3.16,2.88
0.24,,,,,,,
0.51,3.65,4.35,4.01,3.8,3.65,4.15,3.78
0.64,2,1.93,2.17,2.36,2,,
0.48,,,,2.15,,,
0.45,3.7,3.28,4.36,4.18,3.7,3.51,3.61
0.4,4.13,3.78,4.38,3.75,4.13,3.81,4.35
0.26,2.91,3.5,3.4,2.87,2.91,4.1,3.65
0.23,3.13,2.86,3.77,2.61,3.13,3.27,3.91
0.22,3.93,3.95,3.63,3.84,3.93,4.36,3.9
0.15,3.91,3.74,3.45,3.65,3.91,4.2,3.61
0.29,3.69,3.8,3.63,3.75,3.69,3.85,3.79
0.27,,,,,,,
0.15,3.7,3,3.64,3.79,3.7,3.83,4.07
0.57,4.46,4.14,3.94,4.12,4.46,4.36,4.53
0.21,3.12,3.24,3.33,3.27,3.12,3.4,3.31
0.23,3.99,3.82,3.66,3.9,3.99,3.94,4.18
0.22,3.64,4.59,4.18,4.19,3.64,4.48,3.86
0.24,4.19,4.53,4.17,3.12,4.19,4.3,3.87
0.15,3.83,4.79,4.41,4.04,3.83,3.62,3.86
0.28,3.42,2.35,3.21,2.88,3.42,4.37,3.83
0.41,4.42,3.72,4.64,4.05,4.42,4.24,4.39
0.16,4.3,4.75,4.34,4.06,4.3,3.66,4.33
0.15,3.69,3.77,3.34,4.32,3.69,4.15,4.21
0.17,3.59,3.9,3.86,3.79,3.59,4.17,3.62
0.25,3.95,3.91,3.68,4.52,3.95,4.45,3.58
0.35,3.36,4.12,3.27,2.5,3.36,2.74,3.02
0.17,2.78,4.06,3.74,3.38,2.78,3.13,3.34
0.45,3.13,2.16,2.75,2.94,3.13,2.74,3.47
0.59,3.6,3.59,3.78,3.01,3.6,4.07,3.94
0.15,4.2,4.44,4.58,4.61,4.2,3.18,4.18
0.19,2.72,4.52,3.84,4.13,2.72,3.36,3.28
0.18,2.82,2.64,1.92,2.27,2.82,3.36,2.37
0.15,3.41,2.73,3.36,2.59,3.41,2.79,3.07
0.16,2.82,3.12,2.47,3.09,2.82,3.47,3.04
0.32,4.15,4.09,4.41,3.76,4.15,3.61,4.14
0.29,3.76,3.21,3.84,3.88,3.76,3.89,4.09
0.36,3.89,4.48,3.52,3.23,3.89,3.62,3.64
0.15,,,,,,,
0.24,3.25,3.82,4.02,3.09,3.25,2.96,3.28
0.15,3.8,3.67,4.09,3.48,3.8,3.42,3.95
0.24,3.64,3.21,3.65,2.69,3.64,3.63,3.73
0.22,,,,,,,
0.3,3.54,2.94,3.32,2.73,3.54,3.15,3.22
0.28,2.99,2.56,3.25,3.03,2.99,3.15,3.55
0.15,3.6,3.22,3.39,2.79,3.6,3.86,3
0.15,3.9,3.97,3.38,3.52,3.9,3.89,3.75
